"target","correct_option"
"maize porridge & dishes","cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt"
"brown bread / rolls","bread, whole-wheat, prepared from recipe"
"white bread /rolls","bread, white, commercially prepared (includes soft bread crumbs)"
"full cream liquid milks","milk, whole, 3.25% milkfat, without added vitamin a and vitamin d"
"brick margarine","margarine, regular, 80% fat, composite, stick, without salt"
"potato, cooked","potatoes, boiled, cooked in skin, flesh, without salt"
"chicken meat","chicken, broilers or fryers, breast, meat and skin, cooked, roasted"
"non dairy creamer, nd condensed milk,orley whip","cream substitute, powdered"
"chicken eggs","egg, whole, raw, fresh"
"mutton","mutton, cooked, roasted (navajo)"
"tomato & onion stew, cooked fresh","tomato products, canned, sauce, with onions"
"cabbage, cooked","cabbage, cooked, boiled, drained, without salt"
"beans, sugar,kidney,harricot, dried","beans, kidney, all types, mature seeds, raw"
"high fat cheese (cheddar, gouda,mozarella)","cheese, cheddar"
"medium /low fat spread","margarine-like, vegetable oil spread, 20% fat, without salt"
"apple, average, raw","apples, raw, with skin"
"beef gravy and extracts, cooked fresh","gravy, beef, canned, ready-to-serve"
"maize samp/rice & dishes","restaurant, latino, tamale, corn"
"tomato, raw fresh","tomatoes, red, ripe, raw, year round average"
"jam /marmelade","jams and preserves"
"sunflower oil","oil, sunflower, linoleic, (approx. 65%)"
"fish - sea, cooked, fresh","fish, cod, atlantic, raw"
"cookies, loaves, pancakes, tarts,cakes,pudding","cake, sponge, prepared from recipe"
"banana, raw (peeled)","bananas, raw"
"pumkin/butternut, hubbard squash, cooked","squash, winter, butternut, cooked, baked, without salt"
"beef sausage - wors","frankfurter, beef, heated"
"full cream processed milk, (buttermilk, maas)","milk, buttermilk, fluid, whole"
"rusks","crackers, rusk toast"
"peanut butter; smooth style","usda commodity, peanut butter, smooth"
"cold drink, squash type","lemonade, frozen concentrate, white, prepared with water"
"grape, raw fresh","grapes, red or green (european type, such as thompson seedless), raw"
"sweet potato cooked without skin","sweet potato, cooked, boiled, without skin"
"green beans, cooked","beans, snap, green, cooked, boiled, drained, without salt"
"peas, cooked","peas, green, cooked, boiled, drained, without salt"
"onion, cooked","onions, cooked, boiled, drained, without salt"
"chicken heads & feet","chicken, wing, frozen, glazed, barbecue flavored"
"beef offal , other (tongue, heart,brain,lung,tripe)","beef, variety meats and by-products, tongue, cooked, simmered"
"sweets, hard boiled, soft jelly","candies, hard"
